学号,性别,身高,体重,支出,开设,课程,软件
1510248008,女,167,71,46.0 ,不清楚,都未学过,No
1510229019,男,171,68,10.4 ,有必要,概率统计,Matlab
1512108019,女,175,73,21.0 ,有必要,统计方法,SPSS
1512332010,男,169,74,4.9 ,有必要,编程技术,Excel
1512331015,男,154,55,25.9 ,有必要,都学习过,Python
1516248014,男,183,76,85.6 ,不必要,编程技术,Excel
1516352030,女,169,71,9.1 ,有必要,编程技术,Excel
1516171019,女,166,66,2.5 ,不必要,都未学过,Excel
1516391008,女,165,69,35.6 ,不必要,都未学过,Excel
1520395019,男,173,63,22.8 ,有必要,统计方法,R
1520100029,男,184,82,10.3 ,有必要,都学习过,SAS
1520324035,男,163,66,13.0 ,有必要,概率统计,Matlab
1522186005,男,162,63,9.8 ,有必要,都学习过,SPSS
1522160006,女,168,72,35.3 ,不必要,统计方法,SPSS
1522274026,女,164,66,50.5 ,有必要,统计方法,SPSS
1523376027,男,180,81,64.1 ,有必要,统计方法,Excel
1523368030,女,158,63,20.6 ,不清楚,都学习过,Excel
1524225006,男,179,75,5.8 ,有必要,编程技术,Python
1524105026,女,163,65,69.4 ,有必要,编程技术,Python
1524286013,男,160,62,4.8 ,有必要,都未学过,R
1525235027,女,168,70,8.2 ,有必要,都学习过,R
1525352033,男,185,83,5.1 ,有必要,都学习过,SPSS
1526177005,男,174,76,15.8 ,有必要,概率统计,Excel
1526196010,男,167,72,9.8 ,不清楚,统计方法,SPSS
1527173011,女,160,62,11.5 ,不必要,都学习过,Matlab
1527237032,女,163,65,19.4 ,有必要,统计方法,R
1527289024,男,155,50,10.8 ,有必要,概率统计,SPSS
1529107020,男,178,78,8.9 ,不清楚,概率统计,Matlab
1529314037,男,170,70,15.1 ,有必要,概率统计,SAS
1529245023,男,164,58,21.9 ,有必要,统计方法,Excel
1529365032,男,172,71,10.4 ,有必要,都学习过,SPSS
1530273031,男,178,77,35.6 ,不必要,统计方法,R
1530243029,男,186,87,9.5 ,不必要,都未学过,No
1531364037,女,171,69,7.3 ,有必要,都学习过,Excel
1531316038,女,156,56,52.8 ,有必要,统计方法,Excel
1532304031,女,166,68,47.9 ,不清楚,统计方法,SAS
1532208040,男,176,78,75.5 ,不必要,概率统计,Excel
1532292012,男,178,78,28.4 ,不必要,概率统计,No
1532185004,女,155,54,13.4 ,不清楚,编程技术,Excel
1533219013,女,163,62,11.1 ,不清楚,概率统计,Matlab
1533384028,男,158,60,6.1 ,有必要,编程技术,R
1533172017,女,167,68,27.2 ,不必要,都未学过,Excel
1537288004,女,173,70,19.1 ,不清楚,编程技术,Python
1537359035,女,174,71,17.6 ,不清楚,概率统计,No
1438391022,女,164,62,10.3 ,有必要,编程技术,Python
1538399025,男,169,65,9.5 ,有必要,统计方法,SAS
1438120022,男,166,70,35.6 ,有必要,统计方法,R
1538319004,男,175,68,44.4 ,不清楚,统计方法,SAS
1538254010,女,166,65,5.3 ,不清楚,编程技术,Python
1540294017,女,159,58,71.4 ,不清楚,都学习过,SPSS
1540365026,女,169,73,5.5 ,有必要,统计方法,Excel
1540388036,女,165,67,56.8 ,不必要,概率统计,SAS